transaction_amount,transaction_frequency,average_amount,amount_deviation,time_since_last_transaction,country_change,city_change,device_change,ip_change,merchant_frequency,transactions_last_hour,transactions_last_day,label,is_fraud
24.94,0.0,0.0,0.0,10080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0
24.6,0.0,24.94,0.013632718524458694,2136.2976306,0.0,0.0,0.0,0.0,1.0,0.0,0.0,NORMAL,0
69.19,1.0,24.770000000000003,1.793298344771901,222.25085385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUSPICIOUS,0
218.49,2.0,39.57666666666667,4.520677166680705,1054.00845505,1.0,1.0,1.0,1.0,2.0,0.0,2.0,FRAUD,1
34.31,0.0,84.305,0.5930253247138366,1615.1052340166668,0.0,0.0,1.0,0.0,3.0,0.0,0.0,SUSPICIOUS,0
25.9,1.0,74.30600000000001,0.6514413371733104,77.2360041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,SUSPICIOUS,0
28.81,2.0,66.23833333333333,0.5650554814684347,772.7996093666667,0.0,0.0,0.0,0.0,4.0,0.0,2.0,SUSPICIOUS,0
24.77,1.0,60.89142857142857,0.5932103978978979,1010.91831185,0.0,0.0,0.0,0.0,1.0,0.0,1.0,SUSPICIOUS,0
24.42,1.0,56.37625,0.5668388727522671,1151.1912224,0.0,0.0,0.0,0.0,1.0,0.0,1.0,NORMAL,0
23.82,0.0,52.82555555555555,0.5490818837683781,2825.8242010000004,0.0,0.0,0.0,0.0,2.0,0.0,0.0,NORMAL,0
235.4,1.0,49.925,3.7150726089133705,519.2039036833334,1.0,1.0,1.0,1.0,5.0,0.0,1.0,FRAUD,1
24.87,0.0,66.78636363636363,0.627618593888246,1663.1140370166665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NORMAL,0
32.41,0.0,63.29333333333333,0.48793975142195073,2666.1030256500003,0.0,0.0,0.0,0.0,3.0,0.0,0.0,NORMAL,0
29.55,1.0,60.91769230769231,0.5149192479133257,954.9949035833334,0.0,0.0,0.0,0.0,1.0,0.0,1.0,NORMAL,0
29.95,1.0,58.67714285714286,0.489579782830988,894.8841191833333,0.0,0.0,0.0,0.0,2.0,0.0,1.0,NORMAL,0
30.03,0.0,56.76200000000001,0.47094887424685533,2708.6051896833333,0.0,0.0,0.0,0.0,4.0,0.0,0.0,NORMAL,0
28.23,0.0,55.09125,0.4875774283574978,1580.7715505499998,0.0,0.0,0.0,0.0,5.0,0.0,0.0,NORMAL,0
21.61,1.0,53.51117647058824,0.5961591311325837,932.1442862666667,0.0,0.0,0.0,0.0,3.0,0.0,1.0,NORMAL,0
25.65,2.0,51.738888888888894,0.5042413830129927,493.6930726666667,0.0,0.0,0.0,0.0,6.0,0.0,2.0,NORMAL,0
24.44,2.0,50.36578947368421,0.5147499869376665,578.2994266500001,0.0,0.0,0.0,0.0,4.0,0.0,2.0,NORMAL,0
25.44,0.0,49.0695,0.48155167670345117,2448.14613435,0.0,0.0,0.0,0.0,5.0,0.0,0.0,NORMAL,0
22.54,1.0,47.94428571428572,0.5298709811984149,707.21127935,0.0,0.0,0.0,0.0,6.0,0.0,1.0,NORMAL,0
27.04,2.0,46.78954545454546,0.4220931249210683,634.9494272,0.0,0.0,0.0,0.0,6.0,0.0,2.0,SUSPICIOUS,0
